slice,kind,role,project,agent_type,session_id,start,end,dur_s,turns,raw_turns,tokens,cost_usd,note
001,manager,manager:worker,worker,,0cbb314b-19ec-43ef-ad72-3491d239e20b,2026-06-18T22:56:32.209000+00:00,2026-06-19T00:04:19.143000+00:00,4067,128,277,22615991,17.67,87/125 mentions -> 001
001,manager,manager:root,root,,2a839831-00d7-449d-83f7-b0c8f70354de,2026-06-18T22:50:19.613000+00:00,2026-06-19T06:10:03.227000+00:00,26384,46,122,5572934,6.98,210/226 mentions -> 001
001,subagent,subagent:claude,worker,claude,agent-a809bc225f66958a9.jsonl,2026-06-18T23:42:05.782000+00:00,2026-06-18T23:47:37.729000+00:00,332,44,93,3222023,2.27,Code-writer slice 001 worker codegen
001,subagent,subagent:claude,worker,claude,agent-acf902bad3c8e918b.jsonl,2026-06-18T23:50:45.776000+00:00,2026-06-18T23:56:55.418000+00:00,370,34,77,2914580,2.21,Code-reviewer slice 001 worker codegen
001,subagent,subagent:claude,worker,claude,agent-ad13d652b8054d3df.jsonl,2026-06-18T23:15:55.778000+00:00,2026-06-18T23:24:12.415000+00:00,497,24,59,1754473,1.62,Plan-writer slice 001 worker codegen
001,subagent,subagent:claude,worker,claude,agent-aac3e6fcf4aa2003e.jsonl,2026-06-18T23:30:58.306000+00:00,2026-06-18T23:35:29.328000+00:00,271,20,50,1242296,1.13,Plan-reviewer slice 001 worker codegen
001,subagent,subagent:slice-verifier,root,slice-verifier,agent-ad35f46827ba4149f.jsonl,2026-06-19T00:07:31.163000+00:00,2026-06-19T00:10:07.056000+00:00,156,16,39,650460,0.72,Verify slice 001 verification log
001,manager,manager:root,root,,74bab290-e86d-4936-a6ec-a46bce449274,2026-06-20T07:09:48.613000+00:00,2026-06-20T07:12:18.280000+00:00,150,11,26,405735,0.72,1/1 mentions -> 001
001,subagent,subagent:claude,worker,claude,agent-ac4564d63031009f2.jsonl,2026-06-18T23:59:33.325000+00:00,2026-06-19T00:01:42.399000+00:00,129,16,35,600372,0.59,Resolve code-review minors F1/F2
001,manager,manager:root,root,,5e3a4192-900f-43e7-9744-a7c2ea08cf75,2026-06-23T00:02:54.072000+00:00,2026-06-23T00:03:37.245000+00:00,43,3,10,124868,0.43,1/2 mentions -> 001
001,subagent,subagent:Explore,worker,Explore,agent-a1a8b904b8ff24762.jsonl,2026-06-18T23:16:23.707000+00:00,2026-06-18T23:17:14.003000+00:00,50,14,31,242198,0.06,Survey worker docs for required reading
001,subagent,subagent:Explore,worker,Explore,agent-aa390fad8918d641b.jsonl,2026-06-18T23:51:23.034000+00:00,2026-06-18T23:51:47.530000+00:00,24,6,15,74426,0.04,Survey contracts source models
002,manager,manager:root,root,,5417c0c0-2ec5-40ad-b7c3-ecf156b7d94b,2026-06-19T06:16:52.463000+00:00,2026-06-19T14:34:53.138000+00:00,29881,202,455,43250768,33.81,67/95 mentions -> 002
002,manager,manager:worker,worker,,5557f446-3913-4ec2-8148-0e9760a35908,2026-06-19T06:21:10.073000+00:00,2026-06-19T13:19:02.857000+00:00,25073,89,278,19685946,18.70,47/85 mentions -> 002
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a6d51c986096d5333.jsonl,2026-06-19T07:03:09.139000+00:00,2026-06-19T07:25:21.898000+00:00,1333,133,279,23265529,14.19,Implement worker Go port
002,manager,manager:root,root,,5567bf81-5be3-40d5-8d55-e78a0168db54,2026-06-18T21:40:44.483000+00:00,2026-06-18T22:51:56.834000+00:00,4272,45,130,6505044,6.84,10/14 mentions -> 002
002,manager,manager:controller,controller,,d9aa51e6-a206-46eb-b4e1-953699e5dd32,2026-06-19T07:43:08.310000+00:00,2026-06-19T12:35:52.395000+00:00,17564,45,118,4493659,5.12,37/39 mentions -> 002
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a7bbbd80568946466.jsonl,2026-06-19T07:27:44.570000+00:00,2026-06-19T07:34:33.237000+00:00,409,40,114,5231227,3.73,Code review of worker Go port
002,subagent,subagent:general-purpose,worker,general-purpose,agent-af15591e91e901ec6.jsonl,2026-06-19T06:39:24.378000+00:00,2026-06-19T06:48:08.596000+00:00,524,26,87,2389081,2.09,Write Go-port plan for worker
002,subagent,subagent:arch-design,root,arch-design,agent-ab9e0b422e2b03727.jsonl,2026-06-18T21:55:22.251000+00:00,2026-06-18T22:09:28.837000+00:00,847,26,70,1455050,1.97,Design contracts-to-Go codegen pipeline
002,subagent,subagent:slice-verifier,root,slice-verifier,agent-a6d9c5bdecee64372.jsonl,2026-06-19T12:37:38.281000+00:00,2026-06-19T12:43:09.048000+00:00,331,24,80,2017426,1.81,Independently verify slice 002
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a75844e851ea83c6e.jsonl,2026-06-19T06:54:31.245000+00:00,2026-06-19T06:58:21.219000+00:00,230,25,57,1759701,1.39,Revise worker plan per review
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a5c17803b161e441d.jsonl,2026-06-19T06:49:23.810000+00:00,2026-06-19T06:52:34.094000+00:00,190,15,54,1250074,1.32,Adversarial review of worker plan
002,subagent,subagent:general-purpose,root,general-purpose,agent-a2e8f4ee37edac7df.jsonl,2026-06-18T21:57:14.209000+00:00,2026-06-18T22:01:51.035000+00:00,277,27,53,1145746,1.16,Research omissis/go-jsonschema
002,subagent,subagent:general-purpose,worker,general-purpose,agent-a20144bddda2b968d.jsonl,2026-06-19T06:58:54.304000+00:00,2026-06-19T07:01:40.629000+00:00,166,12,33,911116,1.01,Re-review revised worker plan
002,manager,manager:root,root,,f74107fa-9fbd-44f0-8d65-65060a1d4152,2026-06-19T15:20:18.119000+00:00,2026-06-19T15:27:32.555000+00:00,434,14,34,640183,1.00,4/4 mentions -> 002
002,subagent,subagent:general-purpose,root,general-purpose,agent-ab13eab39539fe59d.jsonl,2026-06-18T21:56:31.906000+00:00,2026-06-18T22:05:59.787000+00:00,568,11,21,380815,0.97,Research Go JSON Schema codegen tools
002,subagent,subagent:general-purpose,root,general-purpose,agent-aa58c31e1736fa31e.jsonl,2026-06-18T21:57:31.059000+00:00,2026-06-18T22:04:28.745000+00:00,418,18,46,660482,0.78,Research quicktype JSON Schema to Go
002,subagent,subagent:Explore,root,Explore,agent-a88d3b96e1438bbe0.jsonl,2026-06-18T21:44:06.645000+00:00,2026-06-18T21:47:26.300000+00:00,200,14,55,442624,0.71,Map contracts + cross-repo worker wiring
002,subagent,subagent:general-purpose,controller,general-purpose,agent-a5ef98eae46ff80f5.jsonl,2026-06-19T12:32:26.879000+00:00,2026-06-19T12:34:32.726000+00:00,126,10,27,437075,0.67,Review controller cutover diff
002,subagent,subagent:Explore,root,Explore,agent-a403f5dfea9daaa6c.jsonl,2026-06-18T21:43:54.351000+00:00,2026-06-18T21:46:00.508000+00:00,126,8,44,264513,0.64,Map worker modules and tests
002,subagent,subagent:general-purpose,controller,general-purpose,agent-ab4303d90a334334c.jsonl,2026-06-19T12:29:29.827000+00:00,2026-06-19T12:31:23.954000+00:00,114,16,46,640816,0.61,Implement controller delivery cutover
002,subagent,subagent:general-purpose,controller,general-purpose,agent-a43a974fb4a8bf7e4.jsonl,2026-06-19T12:26:33.349000+00:00,2026-06-19T12:28:52.080000+00:00,139,10,32,407886,0.57,Review controller cutover plan
002,subagent,subagent:general-purpose,controller,general-purpose,agent-af4c974a3752a6161.jsonl,2026-06-19T07:52:31.808000+00:00,2026-06-19T07:54:57.842000+00:00,146,8,20,320234,0.51,Plan controller delivery cutover
