slice,cost_usd,tokens,turns,raw_turns,convs,managers,subagents,wall_h,active_h,projects
none,363.69,476575185,1939,4681,43,35,8,513.16,36.98,"{""worker"": 4, ""root"": 30, ""controller"": 1}"
003,283.14,354143312,2270,5588,80,11,69,159.37,28.99,"{""worker"": 1, ""contracts"": 1, ""root"": 6, ""controller"": 2, ""bot"": 1}"
052,273.04,314992057,2032,4840,57,13,44,204.59,42.06,"{""worker"": 1, ""contracts"": 2, ""root"": 6, ""controller"": 3, ""bot"": 1}"
058,183.09,245999845,1116,2951,22,6,16,184.75,15.71,"{""contracts"": 1, ""root"": 3, ""controller"": 1, ""bot"": 1}"
044,170.84,216514932,1369,3462,44,10,34,176.63,19.22,"{""worker"": 1, ""root"": 7, ""controller"": 2}"
038,162.69,172375548,1276,3375,49,15,34,53.03,30.04,"{""vscode-extension"": 1, ""worker"": 1, ""root"": 12, ""controller"": 1}"
012,154.16,177386207,1248,3175,42,11,31,15.38,17.56,"{""worker"": 1, ""contracts"": 2, ""root"": 6, ""controller"": 1, ""bot"": 1}"
073,148.82,183938306,1169,3177,35,10,25,10.14,17.94,"{""worker"": 2, ""root"": 6, ""controller"": 2}"
004,140.56,169820623,1306,3042,42,7,35,467.14,90.8,"{""worker"": 1, ""contracts"": 1, ""root"": 3, ""controller"": 1, ""bot"": 1}"
026,140.36,171707015,1255,3085,44,8,36,310.3,12.64,"{""contracts"": 1, ""root"": 5, ""controller"": 2}"
031,123.12,124464128,1088,2707,35,10,25,264.61,28.21,"{""worker"": 1, ""contracts"": 1, ""root"": 6, ""controller"": 1, ""bot"": 1}"
024,118.85,133651584,951,2371,34,8,26,176.33,20.45,"{""worker"": 2, ""contracts"": 1, ""root"": 4, ""bot"": 1}"
067,112.56,140867899,993,2637,34,10,24,9.33,17.61,"{""worker"": 5, ""root"": 5}"
061,106.86,121772390,917,2650,29,6,23,10.67,18.4,"{""worker"": 1, ""contracts"": 1, ""root"": 2, ""controller"": 1, ""bot"": 1}"
002,103.97,120451252,936,2440,36,5,31,17.78,23.63,"{""worker"": 1, ""root"": 3, ""controller"": 1}"
006,103.88,130259949,925,2137,25,6,19,18.36,21.93,"{""root"": 2, ""controller"": 3, ""bot"": 1}"
041,98.98,96822818,676,1538,16,5,11,164.86,31.16,"{""worker"": 1, ""root"": 3, ""bot"": 1}"
055,95.65,118747924,677,1743,18,5,13,72.07,8.47,"{""worker"": 1, ""contracts"": 1, ""root"": 2, ""controller"": 1}"
066,95.25,129857207,757,1957,16,4,12,8.19,11.23,"{""worker"": 2, ""root"": 2}"
005,94.32,109385993,882,2099,32,6,26,19.79,23.88,"{""worker"": 1, ""contracts"": 1, ""root"": 1, ""controller"": 2, ""bot"": 1}"
046,92.6,102590162,708,1725,27,6,21,31.28,23.79,"{""contracts"": 1, ""root"": 4, ""controller"": 1}"
023,86.23,94456955,900,2158,33,9,24,166.01,7.67,"{""root"": 6, ""controller"": 2, ""bot"": 1}"
039,83.6,111548920,790,1750,17,5,12,3.66,7.01,"{""worker"": 1, ""root"": 3, ""controller"": 1}"
049,83.15,95247676,881,2067,27,6,21,38.04,9.39,"{""worker"": 1, ""contracts"": 1, ""root"": 2, ""controller"": 1, ""bot"": 1}"
018,82.67,102377834,641,1474,22,2,20,15.04,27.3,"{""worker"": 1, ""root"": 1}"
034,79.15,91930232,695,1694,22,7,15,71.54,6.47,"{""vscode-extension"": 2, ""worker"": 1, ""root"": 4}"
069,78.61,86303738,537,1637,21,5,16,12.08,15.58,"{""root"": 3, ""controller"": 1, ""bot"": 1}"
062,78.11,94304858,531,1398,13,3,10,34.05,15.67,"{""root"": 2, ""controller"": 1}"
048,77.4,79888145,702,1944,31,8,23,235.2,8.21,"{""worker"": 1, ""contracts"": 1, ""root"": 5, ""controller"": 1}"
